Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Bernard King,161.0,36.96,9.37,18.78,0.5,9.37,18.78,0.5,4.11,6.71,0.61,8.82,3.03,3.9,22.84,Yes
Bernie Fryer,111.0,18.97,2.46,5.38,0.46,2.46,5.38,0.46,1.26,1.6,0.79,1.85,2.98,2.17,6.18,No
Bernie Harris,11.0,2.27,0.18,1.0,0.18,0.18,1.0,0.18,0.09,0.18,0.5,0.73,0.09,0.0,0.45,No
Bernie Williams,128.0,15.12,2.84,7.65,0.37,2.84,7.65,0.37,1.28,1.59,0.81,1.88,2.17,1.56,6.95,No
Bert Cook,37.0,11.46,1.14,3.59,0.32,1.14,3.59,0.32,0.92,1.35,0.68,1.95,0.89,1.05,3.19,No
Bevo Nordmann,205.0,14.08,2.05,4.4,0.47,2.05,4.4,0.47,0.8,1.65,0.49,4.38,0.61,2.44,4.9,No
Bill Bolger,20.0,10.1,1.2,2.95,0.41,1.2,2.95,0.41,0.4,0.65,0.62,1.8,0.55,1.35,2.8,No
Bill Bradley,742.0,30.73,5.29,11.81,0.45,5.29,11.81,0.45,1.84,2.19,0.84,3.17,3.41,3.18,12.42,Yes
Bill Bridges,1118.0,33.02,4.41,9.89,0.45,4.41,9.89,0.45,2.74,3.96,0.69,11.76,2.68,3.58,11.56,No
Bill Buntin,42.0,16.98,2.81,7.12,0.39,2.81,7.12,0.39,2.1,3.4,0.62,6.0,0.86,2.83,7.71,No
Bill Calhoun,448.0,23.15,2.69,7.94,0.34,2.69,7.94,0.34,2.75,3.85,0.71,3.5,2.38,1.95,8.13,No
Bill Chamberlain,28.0,13.11,2.04,4.64,0.44,2.04,4.64,0.44,1.39,2.0,0.7,2.86,1.32,2.64,5.46,No
Bill Closs,186.0,6.02,3.25,10.31,0.32,3.25,10.31,0.32,2.47,3.44,0.72,3.25,1.86,2.53,8.97,No
Bill Dinwiddie,220.0,12.55,1.84,4.98,0.37,1.84,4.98,0.37,0.75,1.24,0.61,3.27,0.59,1.73,4.43,No
Bill Ebben,8.0,6.25,0.75,3.5,0.21,0.75,3.5,0.21,0.38,0.5,0.75,1.0,0.5,0.62,1.88,No
Bill Gabor,307.0,11.99,3.52,10.23,0.34,3.52,10.23,0.34,2.73,3.7,0.74,1.46,2.04,3.42,9.76,No
Bill Henry,126.0,0.0,1.41,4.41,0.32,1.41,4.41,0.32,1.87,2.79,0.67,0.0,0.76,1.94,4.7,No
Bill Herman,13.0,0.0,1.92,5.0,0.38,1.92,5.0,0.38,0.46,0.85,0.55,0.0,1.15,1.0,4.31,No
Bill Hewitt,426.0,20.52,2.35,5.47,0.43,2.35,5.47,0.43,0.78,1.39,0.56,5.51,1.25,2.16,5.48,No
Bill Hosket,143.0,9.76,1.64,3.39,0.48,1.64,3.39,0.48,0.72,1.01,0.72,2.48,0.66,1.53,4.01,No
Bill Ligon,38.0,7.16,1.45,3.76,0.38,1.45,3.76,0.38,0.42,0.66,0.64,0.68,0.66,0.82,3.32,No
Bill McGill,256.0,17.28,4.43,9.21,0.48,4.43,9.21,0.48,2.01,2.8,0.72,4.14,1.16,2.41,10.88,No
Bill Melchionni,144.0,10.07,1.97,4.78,0.41,1.97,4.78,0.41,0.5,0.74,0.67,1.4,1.41,1.03,4.44,No
Bill Mlkvy,31.0,19.61,2.42,7.94,0.3,2.42,7.94,0.3,1.0,1.55,0.65,3.26,2.0,1.74,5.84,No
Bill Roberts,67.0,0.0,1.15,3.31,0.35,1.15,3.31,0.35,0.42,0.58,0.72,0.0,0.36,1.34,2.72,No
Bill Robinzine,314.0,21.81,4.14,8.57,0.48,4.14,8.57,0.48,2.2,2.96,0.74,6.39,1.05,3.89,10.48,No
Bill Russell,963.0,42.29,5.91,13.43,0.44,5.91,13.43,0.44,3.27,5.83,0.56,22.45,4.26,2.69,15.08,Yes
Bill Sharman,711.0,30.65,6.7,15.74,0.43,6.7,15.74,0.43,4.42,5.01,0.88,3.93,2.95,2.71,17.81,Yes
Bill Smith,9.0,9.22,0.89,3.67,0.24,0.89,3.67,0.24,0.78,0.89,0.88,1.78,0.78,0.67,2.56,No
Bill Stricker,1.0,2.0,2.0,3.0,0.67,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,1.0,4.0,No
Bill Thieben,85.0,10.31,1.55,4.69,0.33,1.55,4.69,0.33,0.86,1.34,0.64,3.2,0.28,1.44,3.96,No
Bill Tosheff,203.0,31.23,3.12,9.91,0.32,3.12,9.91,0.32,2.91,3.67,0.79,3.0,3.26,3.22,9.16,No
Bill Turner,387.0,13.84,2.12,5.19,0.41,2.12,5.19,0.41,1.34,1.84,0.73,3.54,0.57,2.1,5.57,No
Bill Walton,209.0,33.65,7.05,13.82,0.51,7.05,13.82,0.51,3.02,4.49,0.67,13.5,4.42,2.77,17.12,Yes
Bill Willoughby,157.0,15.91,2.19,5.2,0.42,2.19,5.2,0.42,1.1,1.55,0.71,4.31,0.52,1.8,5.48,No
Bill Zopf,53.0,7.51,0.92,2.55,0.36,0.92,2.55,0.36,0.38,0.68,0.56,0.87,1.38,0.64,2.23,No
Billy Cunningham,654.0,34.26,7.82,17.53,0.45,7.82,17.53,0.45,5.19,7.21,0.72,10.15,4.01,3.72,20.83,Yes
Billy Hassett,151.0,0.0,1.41,5.06,0.28,1.41,5.06,0.28,1.66,2.55,0.65,0.23,2.13,2.28,4.48,No
Billy Kenville,345.0,19.65,2.46,6.77,0.36,2.46,6.77,0.36,2.14,2.82,0.76,3.5,2.07,1.94,7.06,No
Billy Knight,289.0,32.74,7.51,14.82,0.51,7.51,14.82,0.51,4.19,5.09,0.82,5.74,2.51,2.26,19.21,No
Billy McKinney,78.0,15.92,3.08,6.12,0.5,3.08,6.12,0.5,1.65,2.08,0.8,1.09,3.24,1.55,7.81,No
Billy Paultz,241.0,30.27,5.97,11.78,0.51,5.97,11.78,0.51,2.41,3.4,0.71,8.24,2.55,2.85,14.35,No
Bingo Smith,787.0,25.77,5.58,12.39,0.45,5.58,12.39,0.45,1.53,1.93,0.79,4.28,2.08,2.35,12.69,No
Bird Averitt,185.0,17.87,3.41,8.58,0.4,3.41,8.58,0.4,1.74,2.44,0.71,1.32,2.84,2.02,8.55,No
Blackie Towery,68.0,0.0,3.26,9.97,0.33,3.26,9.97,0.33,2.25,2.97,0.76,0.0,2.09,3.59,8.78,No
Blaine Denning,1.0,9.0,2.0,5.0,0.4,2.0,5.0,0.4,1.0,1.0,1.0,4.0,0.0,3.0,5.0,No
Bo Ellis,120.0,12.35,1.46,3.43,0.42,1.46,3.43,0.42,0.84,1.17,0.72,3.05,0.69,2.11,3.76,No
Bo Erias,18.0,22.28,3.28,9.44,0.35,3.28,9.44,0.35,1.67,2.61,0.64,4.61,1.44,2.89,8.22,No
Bo Lamar,71.0,16.41,3.21,7.9,0.41,3.21,7.9,0.41,0.65,0.96,0.68,1.3,2.49,1.03,7.07,No
Bob Allen,27.0,8.59,0.52,1.59,0.33,0.52,1.59,0.33,0.74,1.33,0.56,2.07,0.37,1.0,1.78,No
Bob Anderegg,33.0,11.3,1.67,4.33,0.38,1.67,4.33,0.38,0.7,1.27,0.55,2.09,0.88,0.97,4.03,No
Bob Armstrong,19.0,5.79,0.58,1.95,0.3,0.58,1.95,0.3,0.32,0.63,0.5,2.05,0.16,0.68,1.47,No
Bob Arnzen,55.0,10.8,2.33,5.04,0.46,2.33,5.04,0.46,0.82,0.95,0.87,2.76,0.44,0.98,5.47,No
Bob Bigelow,99.0,7.94,0.96,2.35,0.41,0.96,2.35,0.41,0.53,0.72,0.73,1.21,0.42,0.79,2.44,No
Bob Boozer,955.0,29.24,5.68,12.39,0.46,5.68,12.39,0.46,3.47,4.58,0.76,8.08,1.4,2.85,14.84,No
Bob Brannum,338.0,19.46,2.62,7.64,0.34,2.62,7.64,0.34,2.01,3.09,0.65,5.75,2.07,3.88,7.26,No
Bob Brown,62.0,0.0,4.45,12.32,0.36,4.45,12.32,0.36,2.77,4.06,0.68,0.0,1.63,4.34,11.68,No
Bob Burrow,81.0,14.8,1.96,5.38,0.36,1.96,5.38,0.36,1.74,3.01,0.58,4.41,0.58,2.22,5.67,No
Bob Carney,19.0,12.84,1.26,3.37,0.38,1.26,3.37,0.38,1.11,2.11,0.53,2.37,0.84,1.89,3.63,No
Bob Carpenter,178.0,0.0,2.42,7.23,0.33,2.42,7.23,0.33,2.25,2.88,0.78,2.57,1.4,2.24,7.08,No
Bob Carrington,144.0,22.96,3.51,8.18,0.43,3.51,8.18,0.43,1.81,2.38,0.76,2.42,1.62,2.85,8.83,No
Bob Christian,246.0,12.24,1.41,2.89,0.49,1.41,2.89,0.49,1.02,1.44,0.7,4.07,0.83,2.02,3.83,No
Bob Cousy,924.0,32.65,6.68,17.82,0.37,6.68,17.82,0.37,5.0,6.23,0.8,5.18,7.53,2.43,18.35,Yes
Bob Dandridge,760.0,35.96,7.89,16.18,0.49,7.89,16.18,0.49,3.26,4.18,0.78,7.06,3.41,3.62,19.03,No
Bob Davies,402.0,21.44,4.91,12.93,0.38,4.91,12.93,0.38,4.33,5.72,0.76,2.44,4.8,3.41,14.15,Yes
Bob Davis,9.0,4.56,0.67,3.11,0.21,0.67,3.11,0.21,0.44,0.67,0.67,0.56,0.22,0.56,1.78,No
Bob Doll,47.0,0.0,2.55,7.38,0.35,2.55,7.38,0.35,1.6,2.43,0.66,0.0,2.3,2.49,6.7,No
Bob Donham,273.0,17.82,2.42,5.05,0.48,2.42,5.05,0.48,1.81,3.57,0.51,3.92,2.59,3.11,6.66,No
Bob Duffy,142.0,12.57,1.82,4.53,0.4,1.82,4.53,0.4,0.82,1.24,0.66,1.16,1.73,1.0,4.45,No
Bob Elliott,14.0,20.14,2.93,5.21,0.56,2.93,5.21,0.56,2.93,4.0,0.73,4.0,1.57,2.43,8.79,No
Bob Evans,47.0,0.0,1.19,4.26,0.28,1.19,4.26,0.28,0.64,0.94,0.68,0.0,1.17,2.11,3.02,No
Bob Feerick,60.0,0.0,2.87,8.33,0.34,2.87,8.33,0.34,2.32,2.9,0.8,0.0,2.12,2.33,8.05,No
Bob Ferry,634.0,20.23,3.51,8.11,0.43,3.51,8.11,0.43,2.1,3.16,0.66,5.27,1.43,2.27,9.12,No
Bob Greacen,43.0,7.79,1.05,2.81,0.37,1.05,2.81,0.37,0.49,0.81,0.6,1.51,0.93,1.3,2.58,No
Bob Gross,283.0,25.83,4.15,8.04,0.52,4.15,8.04,0.52,1.87,2.35,0.79,4.77,2.98,2.95,10.17,No
Bob Harris,381.0,15.14,2.37,6.26,0.38,2.37,6.26,0.38,1.8,2.85,0.63,5.55,1.49,3.04,6.54,No
Bob Harrison,679.0,21.16,2.84,8.12,0.35,2.84,8.12,0.35,1.4,2.05,0.68,2.19,2.67,3.32,7.07,No
Bob Hogsett,7.0,3.14,0.71,2.29,0.31,0.71,2.29,0.31,0.86,0.86,1.0,0.43,0.14,0.71,2.29,No
Bob Hopkins,273.0,18.76,3.13,7.94,0.39,3.13,7.94,0.39,1.94,2.55,0.76,5.59,0.69,2.35,8.19,No
Bob Houbregs,351.0,24.77,3.18,8.0,0.4,3.18,8.0,0.4,2.82,3.91,0.72,5.49,1.77,2.56,9.17,Yes
Bob Kauffman,525.0,25.84,4.39,9.21,0.48,4.39,9.21,0.48,2.74,3.66,0.75,7.01,2.72,2.62,11.52,No
Bob Kinney,60.0,0.0,3.88,10.35,0.38,3.88,10.35,0.38,3.35,5.33,0.63,0.0,1.67,4.18,11.12,No
Bob Knight,2.0,14.5,1.5,3.5,0.43,1.5,3.5,0.43,0.5,0.5,1.0,0.5,4.0,3.0,3.5,No
Bob Lanier,644.0,36.1,9.25,18.27,0.51,9.25,18.27,0.51,4.3,5.56,0.77,11.94,3.31,3.26,22.8,Yes
Bob Lavoy,332.0,20.21,2.88,7.52,0.38,2.88,7.52,0.38,1.83,2.58,0.71,5.88,1.41,3.33,7.59,No
Bob Lochmueller,62.0,12.94,1.27,3.95,0.32,1.27,3.95,0.32,1.19,1.97,0.61,2.61,0.76,2.31,3.74,No
Bob Love,897.0,29.92,6.37,14.93,0.43,6.37,14.93,0.43,3.55,4.41,0.8,5.58,1.32,2.57,16.29,No
Bob McAdoo,657.0,39.35,10.66,20.86,0.51,10.66,20.86,0.51,5.71,7.67,0.74,11.97,2.81,3.47,27.02,Yes
Bob McNeill,175.0,12.97,1.59,3.99,0.4,1.59,3.99,0.4,0.9,1.11,0.81,1.34,2.38,1.49,4.07,No
Bob Naber,4.0,2.75,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5,0.5,1.25,0.25,1.5,0.25,No
Bob Nash,219.0,11.68,2.01,4.63,0.44,2.01,4.63,0.44,0.7,0.96,0.73,2.21,0.67,1.26,4.73,No
Bob Peterson,111.0,12.63,1.7,4.43,0.38,1.7,4.43,0.38,1.05,1.54,0.68,3.61,0.73,2.1,4.45,No
Bob Pettit,792.0,38.75,9.28,21.3,0.44,9.28,21.3,0.44,7.81,10.25,0.76,16.22,2.99,3.19,26.36,Yes
Bob Portman,221.0,13.29,2.35,5.3,0.44,2.35,5.3,0.44,0.98,1.25,0.78,3.3,0.58,1.32,5.67,No
Bob Priddy,16.0,9.31,0.88,2.38,0.37,0.88,2.38,0.37,0.5,0.88,0.57,2.25,0.44,2.25,2.25,No
Bob Quick,170.0,13.13,2.06,4.55,0.45,2.06,4.55,0.45,1.75,2.39,0.73,2.68,0.63,1.68,5.86,No
Bob Riley,7.0,5.57,0.57,1.29,0.44,0.57,1.29,0.44,0.71,1.29,0.56,1.71,0.14,0.71,1.86,No
Bob Royer,42.0,0.0,1.86,5.5,0.34,1.86,5.5,0.34,0.98,1.38,0.71,0.0,2.02,1.71,4.69,No
Bob Rule,531.0,27.39,6.21,13.64,0.46,6.21,13.64,0.46,3.2,4.68,0.68,7.49,1.41,2.86,15.62,No
Bob Santini,4.0,5.75,1.25,2.5,0.5,1.25,2.5,0.5,0.25,0.5,0.5,0.75,0.25,1.0,2.75,No
Bob Schafer,119.0,11.12,1.52,5.09,0.3,1.52,5.09,0.3,1.13,1.47,0.77,1.29,1.02,1.39,4.18,No
Bob Sims,130.0,20.69,2.97,7.55,0.39,2.97,7.55,0.39,1.89,3.32,0.57,2.82,2.37,2.88,7.83,No
Bob Tough,58.0,0.0,1.48,5.28,0.28,1.48,5.28,0.28,0.93,1.38,0.68,0.0,1.31,1.38,3.9,No
Bob Verga,21.0,10.29,2.0,4.43,0.45,2.0,4.43,0.45,0.95,1.52,0.62,0.86,0.81,1.05,4.95,No
Bob Warlick,223.0,15.5,3.18,7.7,0.41,3.18,7.7,0.41,1.25,2.12,0.59,2.71,1.99,1.88,7.61,No
Bob Weiss,860.0,21.81,2.88,6.8,0.42,2.88,6.8,0.42,1.79,2.17,0.83,1.81,3.64,2.03,7.55,No
Bob Wiesenhahn,60.0,5.43,0.85,2.68,0.32,0.85,2.68,0.32,0.28,0.5,0.57,1.87,0.38,0.83,1.98,No
Bob Wilkerson,239.0,28.27,4.18,9.95,0.42,4.18,9.95,0.42,1.51,2.11,0.71,4.79,3.74,2.51,9.87,No
Bob Williams,24.0,8.04,0.92,2.08,0.44,0.92,2.08,0.44,1.08,2.0,0.54,2.46,0.29,1.58,2.92,No
Bob Wilson,63.0,20.76,1.25,4.19,0.3,1.25,4.19,0.3,1.24,2.14,0.58,3.33,1.71,2.73,3.75,No
Bob Wood,6.0,0.0,0.5,2.33,0.21,0.5,2.33,0.21,0.17,0.17,1.0,0.0,0.17,1.0,1.17,No
Bobby Cook,51.0,0.0,4.35,12.16,0.36,4.35,12.16,0.36,2.8,3.55,0.79,0.0,3.1,2.24,11.51,No
Bobby Jones,237.0,30.22,5.57,9.89,0.56,5.57,9.89,0.56,2.76,3.73,0.74,7.78,3.03,2.97,13.89,Yes
Bobby Lewis,255.0,16.87,2.21,5.81,0.38,2.21,5.81,0.38,1.38,1.95,0.71,2.09,2.18,1.97,5.81,No
Bobby Smith,13.0,10.54,1.0,4.23,0.24,1.0,4.23,0.24,0.85,1.23,0.69,2.54,1.08,0.85,2.85,No
Bobby Wanzer,508.0,23.87,4.07,10.31,0.39,4.07,10.31,0.39,4.29,5.36,0.8,3.9,3.24,2.25,12.42,Yes
Bobby Washington,116.0,15.43,2.12,5.34,0.4,2.12,5.34,0.4,1.79,2.31,0.78,2.02,3.56,2.07,6.03,No
Bobby Watson,63.0,11.14,1.14,3.54,0.32,1.14,3.54,0.32,0.49,0.71,0.69,1.38,1.25,1.06,2.78,No
Bobby Wilson,143.0,10.48,2.41,5.66,0.43,2.41,5.66,0.43,0.71,0.92,0.77,1.17,0.77,1.29,5.54,No
Bones McKinney,204.0,5.31,2.58,8.35,0.31,2.58,8.35,0.31,1.47,1.93,0.76,2.8,1.81,2.97,6.63,No
Boo Ellis,118.0,15.87,1.92,4.78,0.4,1.92,4.78,0.4,1.3,1.86,0.7,5.22,0.73,1.7,5.14,No
Boris Nachamkin,6.0,9.83,1.0,3.33,0.3,1.0,3.33,0.3,1.33,2.17,0.62,3.17,0.5,1.0,3.33,No
Brad Davis,87.0,10.69,1.06,2.09,0.51,1.06,2.09,0.51,0.62,0.86,0.72,0.79,2.15,1.18,2.74,No
Brady Walker,235.0,2.97,2.7,6.94,0.39,2.7,6.94,0.39,1.03,1.51,0.68,3.84,1.58,1.29,6.43,No
Brendan McCann,41.0,8.07,0.56,2.76,0.2,0.56,2.76,0.2,0.68,0.98,0.7,1.22,1.59,0.9,1.8,No
Brian Heaney,14.0,5.0,0.93,1.71,0.54,0.93,1.71,0.54,0.14,0.29,0.5,0.29,0.43,1.21,2.0,No
Brian Taylor,131.0,29.94,5.44,11.31,0.48,5.44,11.31,0.48,2.51,3.11,0.81,2.76,3.6,2.75,13.4,No
Brian Winters,383.0,32.26,7.74,16.32,0.47,7.74,16.32,0.47,2.46,2.93,0.84,2.73,4.37,2.92,17.95,No
Bruce Hale,90.0,0.0,2.86,8.32,0.34,2.86,8.32,0.34,2.63,3.42,0.77,0.54,2.98,1.92,8.34,No
Bruce Seals,235.0,24.4,4.24,9.75,0.43,4.24,9.75,0.43,1.83,2.71,0.68,4.63,1.25,3.34,10.31,No
Bubbles Hawkins,103.0,19.47,5.18,11.45,0.45,5.18,11.45,0.45,2.38,3.38,0.7,2.33,1.46,2.45,12.75,No
Bucky Bockhorn,474.0,31.2,4.74,11.76,0.4,4.74,11.76,0.4,1.98,2.65,0.75,4.71,3.47,3.3,11.46,No
Bucky McConnell,14.0,21.21,1.93,5.07,0.38,1.93,5.07,0.38,1.0,2.07,0.48,2.43,2.93,2.79,4.86,No
Bud Acton,23.0,8.48,1.26,3.22,0.39,1.26,3.22,0.39,0.83,1.26,0.66,2.04,0.48,1.52,3.35,No
Bud Grant,96.0,0.0,0.99,3.11,0.32,0.99,3.11,0.32,0.61,1.04,0.59,1.2,0.94,1.48,2.59,No
Bud Koper,54.0,11.69,1.96,4.46,0.44,1.96,4.46,0.44,0.65,0.78,0.83,1.13,0.8,1.09,4.57,No
Bud Ogden,74.0,6.62,1.43,3.22,0.45,1.43,3.22,0.45,0.61,0.88,0.69,1.43,0.65,1.12,3.47,No
Bud Olsen,445.0,11.09,1.68,3.99,0.42,1.68,3.99,0.42,0.74,1.4,0.53,2.98,0.73,1.65,4.11,No
Bud Stallworth,313.0,17.54,3.26,7.88,0.41,3.26,7.88,0.41,1.15,1.68,0.69,2.75,0.68,2.19,7.68,No
Buddy Jeannette,37.0,0.0,1.14,4.0,0.28,1.14,4.0,0.28,2.95,3.59,0.82,0.0,2.51,2.22,5.22,Yes
Butch Beard,680.0,23.51,3.55,7.34,0.48,3.55,7.34,0.48,2.05,2.66,0.77,3.46,3.54,2.64,9.15,No
Butch Feher,48.0,10.15,1.79,3.38,0.53,1.79,3.38,0.53,1.58,2.06,0.77,1.54,0.75,0.96,5.17,No
Butch Lee,164.0,21.7,3.54,7.73,0.46,3.54,7.73,0.46,2.13,2.8,0.76,1.54,3.6,1.78,9.21,No
Butch van Breda Kolff,56.0,0.0,0.98,2.98,0.33,0.98,2.98,0.33,1.71,2.39,0.72,0.0,1.39,1.98,3.68,No
Byron Beck,53.0,9.06,2.02,4.64,0.43,2.02,4.64,0.43,0.68,0.83,0.82,1.81,0.62,1.11,4.72,No
C.J. Kupec,147.0,10.81,1.68,3.94,0.43,1.68,3.94,0.43,0.76,0.99,0.77,2.13,0.73,1.18,4.12,No
Cal Christensen,291.0,13.78,1.67,5.05,0.33,1.67,5.05,0.33,1.84,3.03,0.61,5.45,1.58,2.86,5.18,No
Cal Ramsey,24.0,17.38,3.33,8.46,0.39,3.33,8.46,0.39,1.67,2.92,0.57,5.79,0.88,2.38,8.33,No
Caldwell Jones,240.0,24.29,2.86,5.92,0.48,2.86,5.92,0.48,1.17,1.8,0.65,8.26,1.4,3.69,6.89,No
Calvin Murphy,722.0,32.26,7.59,15.63,0.49,7.59,15.63,0.49,3.78,4.28,0.88,2.4,4.93,3.42,18.96,Yes
Campy Russell,366.0,27.88,5.99,13.13,0.46,5.99,13.13,0.46,3.95,5.11,0.77,5.13,2.64,2.57,15.94,No
Carl Braun,684.0,26.91,4.88,12.36,0.39,4.88,12.36,0.39,3.61,4.42,0.82,3.1,3.89,2.8,13.37,Yes
Carl McNulty,1.0,14.0,1.0,6.0,0.17,1.0,6.0,0.17,0.0,0.0,0.0,0.0,0.0,1.0,2.0,No
Carl Shaeffer,53.0,0.0,1.23,3.43,0.36,1.23,3.43,0.36,0.66,1.13,0.58,0.19,0.87,2.23,3.11,No
Cazzie Russell,817.0,27.19,6.33,13.65,0.46,6.33,13.65,0.46,2.49,3.01,0.83,3.76,2.25,2.07,15.15,No
Cedric Maxwell,152.0,27.51,4.22,7.39,0.57,4.22,7.39,0.57,5.01,6.36,0.79,7.7,1.95,2.74,13.46,No
Charles Dudley,361.0,17.55,1.9,3.82,0.5,1.9,3.82,0.5,1.48,2.21,0.67,3.02,3.41,2.0,5.29,No
Charles Johnson,592.0,19.04,3.67,8.59,0.43,3.67,8.59,0.43,0.71,0.93,0.76,2.49,1.86,1.94,8.05,No
Charley Shipp,23.0,0.0,1.52,5.96,0.26,1.52,5.96,0.26,1.61,2.22,0.73,0.0,2.0,2.0,4.65,No
Charlie Black,143.0,0.82,3.2,11.59,0.28,3.2,11.59,0.28,2.96,4.57,0.65,0.22,2.34,4.03,9.36,No
Charlie Criss,131.0,21.48,3.27,7.94,0.41,3.27,7.94,0.41,2.31,2.92,0.79,1.38,3.3,1.63,8.85,No
Charlie Davis,219.0,18.59,3.51,8.54,0.41,3.51,8.54,0.41,1.85,2.32,0.8,1.53,2.3,2.46,8.87,No
Charlie Hardnett,164.0,15.09,2.64,6.24,0.42,2.64,6.24,0.42,2.02,3.13,0.65,5.67,0.63,2.29,7.3,No
Charlie Lowery,20.0,6.7,0.85,1.9,0.45,0.85,1.9,0.45,0.55,0.9,0.61,0.95,0.7,0.8,2.25,No
Charlie Parsley,9.0,0.0,0.89,3.44,0.26,0.89,3.44,0.26,0.67,0.78,0.86,0.0,0.89,0.78,2.44,No
Charlie Paulk,155.0,11.95,2.2,5.79,0.38,2.2,5.79,0.38,0.79,1.26,0.62,3.39,0.34,1.77,5.19,No
Charlie Scott,570.0,34.9,7.49,16.79,0.45,7.49,16.79,0.45,3.36,4.36,0.77,3.71,4.95,3.71,18.35,Yes
Charlie Tyra,348.0,22.45,3.49,9.0,0.39,3.49,9.0,0.39,1.91,2.84,0.67,7.38,0.91,2.84,8.88,No
Charlie Yelverton,69.0,17.78,2.99,7.68,0.39,2.99,7.68,0.39,1.93,2.72,0.71,2.91,1.17,2.1,7.9,No
Chet Walker,1032.0,32.4,6.66,14.17,0.47,6.66,14.17,0.47,4.92,6.19,0.8,7.09,2.06,2.64,18.25,Yes
Chick Halbert,204.0,0.0,2.14,5.79,0.37,2.14,5.79,0.37,2.24,3.29,0.68,2.64,1.99,2.78,6.51,No
Chick Reiser,67.0,0.0,2.94,9.64,0.3,2.94,9.64,0.3,3.16,3.79,0.83,0.0,2.6,3.33,9.04,No
Chico Vaughn,383.0,21.59,3.46,8.44,0.41,3.46,8.44,0.41,1.93,2.64,0.73,2.2,2.33,2.12,8.85,No
Chink Crossin,64.0,0.0,2.89,8.97,0.32,2.89,8.97,0.32,1.23,1.58,0.78,0.0,2.31,2.17,7.02,No
Chips Sobek,60.0,0.0,1.58,4.18,0.38,1.58,4.18,0.38,2.6,3.42,0.76,0.0,1.58,2.63,5.77,No
Chris Ford,644.0,28.5,4.45,9.55,0.47,4.45,9.55,0.47,1.32,1.8,0.73,3.44,3.79,2.32,10.22,No
Chris Harris,82.0,10.24,0.9,3.63,0.25,0.9,3.63,0.25,0.66,1.1,0.6,1.07,1.07,1.05,2.46,No
Chuck Cooper,476.0,19.13,2.17,6.42,0.34,2.17,6.42,0.34,2.01,2.71,0.74,5.61,1.73,2.81,6.36,Yes
Chuck Gilmur,84.0,0.0,1.71,5.24,0.33,1.71,5.24,0.33,2.15,3.25,0.66,0.89,1.49,3.95,5.58,No
Chuck Grigsby,7.0,6.43,1.0,2.71,0.37,1.0,2.71,0.37,0.29,1.14,0.25,1.57,1.0,1.29,2.29,No
Chuck Mencel,141.0,20.01,2.57,7.54,0.34,2.57,7.54,0.34,1.82,2.38,0.76,2.46,2.36,1.2,6.97,No
Chuck Mrazovich,25.0,0.0,1.12,3.2,0.35,1.12,3.2,0.35,1.16,1.92,0.6,1.6,0.52,2.08,3.4,No
Chuck Noble,411.0,22.41,3.31,9.58,0.35,3.31,9.58,0.35,1.34,1.84,0.73,2.62,3.27,2.74,7.97,No
Chuck Osborne,4.0,5.25,0.25,2.0,0.12,0.25,2.0,0.12,0.75,1.0,0.75,2.25,0.25,0.75,1.25,No
Chuck Share,705.0,20.71,2.48,6.24,0.4,2.48,6.24,0.4,2.83,4.08,0.69,7.86,1.26,3.29,7.79,No
Chuck Terry,135.0,13.33,1.39,3.64,0.38,1.39,3.64,0.38,0.48,0.64,0.76,2.16,0.61,1.78,3.25,No
Chuck Williams,203.0,18.4,1.79,4.22,0.43,1.79,4.22,0.43,1.23,1.54,0.8,1.67,2.86,1.27,4.82,No
Chuckie Williams,22.0,2.95,0.64,2.14,0.3,0.64,2.14,0.3,0.41,0.55,0.75,0.18,0.32,0.32,1.68,No
Clarence Glover,25.0,4.76,1.0,2.2,0.45,1.0,2.2,0.45,0.6,1.28,0.47,1.84,0.16,1.04,2.6,No
Claude English,18.0,3.89,0.61,2.33,0.26,0.61,2.33,0.26,0.28,0.39,0.71,1.11,0.33,0.83,1.5,No
Claude Overton,15.0,12.13,1.27,5.0,0.25,1.27,5.0,0.25,1.33,2.0,0.67,1.67,1.0,1.67,3.87,No
Claude Terry,117.0,10.74,1.85,3.85,0.48,1.85,3.85,0.48,0.69,0.85,0.82,0.91,1.05,0.94,4.4,No
Clem Haskins,681.0,25.88,5.16,11.49,0.45,5.16,11.49,0.45,2.52,3.18,0.79,3.06,3.5,2.21,12.84,No
Clemon Johnson,74.0,10.73,1.38,2.93,0.47,1.38,2.93,0.47,0.49,1.0,0.49,3.05,1.05,1.64,3.24,No
Cleo Hill,58.0,18.1,1.84,5.33,0.35,1.84,5.33,0.35,1.83,2.36,0.77,3.07,1.97,1.69,5.52,No
Cleveland Buckner,68.0,10.63,2.4,5.54,0.43,2.4,5.54,0.43,1.25,2.01,0.62,3.53,0.65,1.76,6.04,No
Cliff Anderson,109.0,7.15,0.83,2.45,0.34,0.83,2.45,0.34,1.39,2.24,0.62,1.39,0.81,1.23,3.06,No
Cliff Barker,149.0,3.32,1.35,4.28,0.32,1.35,4.28,0.32,1.04,1.57,0.66,1.21,1.97,1.7,3.74,No
