Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HoF
Cheese Johnson,9.0,0.0,5.89,1.33,3.33,0.4,0.0,0.0,0.0,1.33,3.33,0.4,0.4,0.33,0.56,0.6,0.67,0.89,1.56,0.22,0.11,0.0,0.44,1.22,3.0,No
Cheick Diallo,180.0,3.0,11.97,2.21,3.69,0.6,0.01,0.04,0.29,2.2,3.66,0.6,0.6,0.83,1.07,0.77,0.97,3.18,4.15,0.43,0.31,0.41,0.64,1.48,5.26,No
Cheikh Samb,40.0,0.0,4.92,0.38,1.7,0.22,0.0,0.15,0.0,0.38,1.55,0.24,0.22,0.18,0.4,0.44,0.57,0.8,1.38,0.05,0.18,0.55,0.18,0.55,0.92,No
Cherokee Parks,537.0,182.0,15.85,1.87,3.95,0.47,0.01,0.08,0.18,1.85,3.87,0.48,0.47,0.64,1.0,0.64,1.18,2.42,3.6,0.58,0.43,0.64,0.6,1.96,4.39,No
Chimezie Metu,47.0,0.0,5.32,0.91,2.13,0.43,0.0,0.09,0.0,0.91,2.04,0.45,0.43,0.49,0.64,0.77,0.45,1.02,1.47,0.49,0.19,0.17,0.53,0.45,2.32,No
Chinanu Onuaku,6.0,1.0,12.33,1.17,2.0,0.58,0.0,0.0,0.0,1.17,2.0,0.58,0.58,0.67,0.67,1.0,0.5,1.83,2.33,0.67,0.5,0.17,1.17,1.67,3.0,No
Chris Andersen,722.0,60.0,17.56,1.9,3.58,0.53,0.03,0.11,0.23,1.88,3.47,0.54,0.54,1.51,2.31,0.66,1.68,3.3,4.97,0.48,0.45,1.39,0.72,1.9,5.35,No
Chris Anstey,155.0,23.0,13.92,1.95,4.74,0.41,0.03,0.19,0.14,1.93,4.55,0.42,0.42,1.31,1.74,0.75,1.15,2.3,3.45,0.82,0.5,0.42,0.95,2.41,5.25,No
Chris Babb,14.0,0.0,9.43,0.57,2.14,0.27,0.43,1.93,0.22,0.14,0.21,0.67,0.37,0.0,0.0,0.0,0.29,0.93,1.21,0.21,0.43,0.0,0.21,0.93,1.57,No
Chris Bosh,893.0,881.0,35.76,6.95,14.09,0.49,0.34,1.02,0.34,6.61,13.07,0.51,0.51,5.0,6.26,0.8,2.16,6.34,8.5,2.01,0.82,1.04,2.02,2.42,19.25,No
Chris Boucher,91.0,0.0,10.8,1.92,4.13,0.47,0.55,1.71,0.32,1.37,2.42,0.57,0.53,1.14,1.44,0.79,1.35,2.32,3.67,0.31,0.31,0.93,0.38,1.59,5.54,No
Chris Carr,393.0,72.0,15.56,2.55,6.24,0.41,0.56,1.64,0.34,1.99,4.6,0.43,0.45,1.28,1.58,0.81,0.61,1.68,2.3,1.02,0.33,0.16,1.16,1.68,6.94,No
Chris Childs,618.0,142.0,25.04,2.3,5.71,0.4,0.65,1.92,0.34,1.65,3.79,0.43,0.46,1.33,1.63,0.82,0.36,2.09,2.44,4.83,0.89,0.11,1.97,2.96,6.59,No
Chris Chiozza,63.0,4.0,13.25,1.78,4.57,0.39,0.89,2.37,0.38,0.89,2.21,0.4,0.49,0.16,0.16,1.0,0.3,1.44,1.75,2.7,0.68,0.14,1.03,1.21,4.6,No
Chris Clemons,33.0,0.0,8.82,1.73,4.3,0.4,1.12,3.24,0.35,0.61,1.06,0.57,0.53,0.3,0.33,0.91,0.12,0.79,0.91,0.82,0.27,0.18,0.58,0.79,4.88,No
Chris Copeland,171.0,26.0,12.35,2.14,5.02,0.43,0.9,2.47,0.36,1.24,2.55,0.49,0.52,0.65,0.87,0.75,0.38,1.21,1.59,0.63,0.19,0.18,0.75,1.39,5.84,No
Chris Corchiani,122.0,1.0,11.62,1.19,2.75,0.43,0.17,0.66,0.26,1.02,2.08,0.49,0.46,1.22,1.51,0.81,0.23,0.89,1.11,2.12,0.65,0.03,1.05,1.45,3.77,No
Chris Crawford,252.0,92.0,15.81,2.42,5.53,0.44,0.28,0.8,0.35,2.14,4.73,0.45,0.46,1.45,1.76,0.82,0.82,1.35,2.17,0.61,0.4,0.32,0.92,1.95,6.56,No
Chris Douglas-Roberts,222.0,61.0,19.73,2.59,5.9,0.44,0.38,1.15,0.33,2.21,4.75,0.46,0.47,1.53,1.84,0.83,0.37,1.75,2.13,1.14,0.58,0.25,0.9,1.29,7.08,No
Chris Dudley,950.0,361.0,18.61,1.62,3.93,0.41,0.0,0.01,0.0,1.62,3.93,0.41,0.41,0.79,1.78,0.44,2.53,3.65,6.19,0.44,0.39,1.16,0.87,2.62,4.02,No
Chris Duhon,606.0,319.0,25.62,2.23,5.68,0.39,1.07,2.95,0.36,1.16,2.73,0.43,0.49,0.98,1.24,0.78,0.33,1.92,2.25,4.44,0.78,0.06,1.53,1.59,6.51,No
Chris Engler,236.0,2.0,7.13,0.72,1.72,0.42,0.0,0.0,0.0,0.72,1.72,0.42,0.42,0.36,0.53,0.68,0.73,1.28,2.0,0.22,0.17,0.25,0.44,1.32,1.79,No
Chris Ford,231.0,201.0,27.83,3.6,8.08,0.45,0.55,1.45,0.37,3.06,6.62,0.46,0.48,0.82,1.11,0.74,0.87,1.09,1.96,2.82,1.1,0.26,1.23,2.31,8.57,No
Chris Garner,46.0,0.0,9.61,0.65,2.33,0.28,0.09,0.46,0.19,0.57,1.87,0.3,0.3,0.17,0.28,0.62,0.2,0.59,0.78,1.37,0.61,0.11,0.74,1.48,1.57,No
Chris Gatling,951.0,92.0,20.04,4.14,8.12,0.51,0.07,0.3,0.24,4.07,7.82,0.52,0.51,2.37,3.56,0.66,1.81,3.67,5.48,0.67,0.69,0.5,1.59,2.72,10.73,No
Chris Herren,70.0,8.0,14.36,1.06,3.14,0.34,0.57,1.74,0.33,0.49,1.4,0.35,0.43,0.51,0.74,0.69,0.23,0.81,1.04,2.39,0.41,0.03,0.89,1.67,3.2,No
Chris Hunter,60.0,9.0,13.05,1.82,3.62,0.5,0.0,0.07,0.0,1.82,3.55,0.51,0.5,0.87,1.15,0.75,0.93,1.85,2.78,0.62,0.22,0.58,0.5,2.2,4.5,No
Chris Jefferies,93.0,14.0,11.35,1.39,3.63,0.38,0.56,1.48,0.38,0.83,2.15,0.39,0.46,0.59,0.89,0.66,0.28,0.98,1.26,0.39,0.29,0.32,0.89,1.38,3.92,No
Chris Jent,6.0,0.0,14.67,2.5,5.33,0.47,1.0,2.33,0.43,1.5,3.0,0.5,0.56,0.17,0.33,0.5,0.83,1.83,2.67,1.33,0.0,0.0,0.83,2.5,6.17,No
Chris Johnson,288.0,8.0,12.88,1.38,3.26,0.42,0.46,1.51,0.3,0.92,1.76,0.53,0.49,0.63,0.8,0.78,0.53,1.39,1.92,0.44,0.49,0.35,0.55,1.43,3.85,No
Chris Kaman,735.0,538.0,26.72,4.67,9.56,0.49,0.0,0.03,0.04,4.67,9.52,0.49,0.49,1.83,2.46,0.74,2.02,5.57,7.59,1.25,0.44,1.27,2.1,2.68,11.17,No
Chris King,103.0,66.0,19.98,2.63,6.21,0.42,0.45,1.17,0.38,2.18,5.05,0.43,0.46,1.02,1.61,0.63,1.05,1.97,3.02,1.13,0.72,0.33,1.16,1.78,6.73,No
Chris McCray,5.0,0.0,2.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,No
Chris McCullough,75.0,4.0,8.16,1.25,2.87,0.44,0.21,0.75,0.29,1.04,2.12,0.49,0.47,0.35,0.63,0.55,0.67,1.08,1.75,0.23,0.43,0.28,0.31,0.81,3.07,No
Chris McNealy,108.0,22.0,17.26,1.68,3.68,0.46,0.0,0.0,0.0,1.68,3.68,0.46,0.46,0.96,1.46,0.66,1.48,3.09,4.57,1.02,0.83,0.28,1.07,2.54,4.31,No
Chris Mihm,512.0,273.0,19.7,2.81,6.08,0.46,0.01,0.03,0.23,2.8,6.05,0.46,0.46,1.69,2.41,0.7,1.99,3.31,5.3,0.48,0.32,0.99,1.22,2.88,7.31,No
Chris Mills,568.0,328.0,30.43,4.21,9.76,0.43,0.77,2.2,0.35,3.44,7.55,0.46,0.47,2.0,2.45,0.82,1.36,3.58,4.94,1.87,0.74,0.43,1.28,2.7,11.19,No
Chris Morris,747.0,436.0,25.1,4.21,9.55,0.44,0.67,2.18,0.31,3.54,7.38,0.48,0.48,1.87,2.54,0.74,2.03,2.71,4.74,1.58,1.23,0.72,1.57,2.34,10.96,No
Chris Mullin,986.0,822.0,32.62,6.84,13.43,0.51,0.83,2.15,0.38,6.01,11.28,0.53,0.54,3.67,4.24,0.87,1.04,3.05,4.09,3.5,1.55,0.56,2.35,2.08,18.17,Yes
Chris Munk,11.0,0.0,2.64,0.27,0.64,0.43,0.0,0.0,0.0,0.27,0.64,0.43,0.43,0.64,1.09,0.58,0.45,0.82,1.27,0.09,0.09,0.18,0.45,0.45,1.18,No
Chris Owens,1.0,0.0,6.0,2.0,3.0,0.67,0.0,0.0,0.0,2.0,3.0,0.67,0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,No
Chris Paul,1020.0,1020.0,34.86,6.47,13.74,0.47,1.35,3.66,0.37,5.11,10.09,0.51,0.52,4.17,4.8,0.87,0.65,3.87,4.52,9.46,2.19,0.13,2.42,2.45,18.46,No
Chris Porter,51.0,35.0,22.49,3.39,8.73,0.39,0.0,0.1,0.0,3.39,8.63,0.39,0.39,1.84,2.76,0.67,1.75,1.96,3.71,1.2,0.88,0.12,1.16,2.18,8.63,No
Chris Quinn,241.0,26.0,13.71,1.58,3.97,0.4,0.67,1.77,0.38,0.91,2.2,0.42,0.48,0.7,0.87,0.81,0.12,0.98,1.1,1.89,0.42,0.03,0.57,1.03,4.53,No
Chris Richard,70.0,3.0,11.14,0.8,1.66,0.48,0.0,0.0,0.0,0.8,1.66,0.48,0.48,0.33,0.54,0.61,1.01,1.76,2.77,0.36,0.26,0.23,0.54,1.9,1.93,No
Chris Robinson,111.0,6.0,13.59,1.79,4.77,0.38,0.74,1.99,0.37,1.05,2.78,0.38,0.45,0.29,0.52,0.55,0.37,1.1,1.47,1.29,0.59,0.15,0.9,1.67,4.61,No
Chris Silva,44.0,0.0,7.86,1.09,1.77,0.62,0.0,0.07,0.0,1.09,1.7,0.64,0.62,0.84,1.25,0.67,1.36,1.5,2.86,0.52,0.2,0.48,0.73,1.93,3.02,No
Chris Singleton,148.0,62.0,17.6,1.57,4.19,0.38,0.39,1.23,0.32,1.18,2.96,0.4,0.42,0.59,0.94,0.63,0.76,2.43,3.19,0.62,0.79,0.39,0.68,2.2,4.14,No
Chris Smith,226.0,39.0,17.51,1.88,4.32,0.44,0.26,0.71,0.37,1.62,3.61,0.45,0.47,1.02,1.43,0.71,0.27,1.02,1.29,2.77,0.52,0.25,0.97,1.53,5.04,No
Chris Taft,17.0,0.0,8.47,1.35,2.24,0.61,0.0,0.0,0.0,1.35,2.24,0.61,0.61,0.06,0.35,0.17,1.12,1.0,2.12,0.12,0.12,0.41,0.12,1.47,2.76,No
Chris Washburn,109.0,2.0,8.3,1.18,2.82,0.42,0.0,0.01,0.0,1.18,2.81,0.42,0.42,0.5,1.04,0.48,0.84,1.46,2.3,0.26,0.15,0.22,0.67,1.0,2.86,No
Chris Webber,959.0,954.0,36.54,8.38,17.67,0.47,0.3,0.98,0.3,8.08,16.69,0.48,0.48,2.94,4.48,0.66,2.63,6.93,9.57,4.2,1.41,1.35,2.71,3.19,19.99,No
Chris Welp,136.0,6.0,10.08,1.2,2.76,0.43,0.0,0.01,0.0,1.2,2.75,0.44,0.43,0.72,1.04,0.7,0.78,1.52,2.3,0.38,0.29,0.46,0.6,2.33,3.12,No
Chris Whitney,630.0,186.0,17.63,2.14,5.49,0.39,0.96,2.69,0.36,1.19,2.8,0.42,0.48,1.25,1.44,0.87,0.16,1.24,1.4,2.79,0.6,0.05,1.1,1.71,6.5,No
Chris Wilcox,767.0,291.0,19.62,3.31,6.13,0.54,0.0,0.03,0.0,3.31,6.1,0.54,0.54,1.49,2.3,0.64,1.54,3.36,4.91,0.72,0.5,0.39,1.11,2.4,8.11,No
Chris Wright,35.0,1.0,9.03,1.29,2.34,0.55,0.0,0.03,0.0,1.29,2.31,0.56,0.55,0.86,1.31,0.65,0.83,1.03,1.86,0.26,0.4,0.51,0.4,1.11,3.43,No
Christian Eyenga,58.0,18.0,19.84,2.45,6.14,0.4,0.47,1.67,0.28,1.98,4.47,0.44,0.44,0.45,0.76,0.59,0.6,2.0,2.6,0.78,0.69,0.66,0.91,1.59,5.81,No
Christian Laettner,1020.0,811.0,29.33,4.66,9.67,0.48,0.1,0.4,0.26,4.56,9.27,0.49,0.49,3.38,4.12,0.82,1.89,4.69,6.58,2.5,1.04,0.78,2.21,3.22,12.81,No
Christian Wood,134.0,16.0,15.51,3.31,6.1,0.54,0.57,1.55,0.37,2.75,4.55,0.6,0.59,2.13,2.91,0.73,1.23,3.42,4.65,0.6,0.42,0.65,0.95,1.15,9.33,No
Chubby Cox,7.0,0.0,11.14,1.86,5.29,0.35,0.0,0.29,0.0,1.86,5.0,0.37,0.35,0.43,0.86,0.5,1.0,0.43,1.43,0.86,0.0,0.14,1.29,2.29,4.14,No
Chuck Aleksinas,74.0,4.0,15.05,2.18,4.55,0.48,0.0,0.01,0.0,2.18,4.54,0.48,0.48,0.74,1.01,0.73,1.18,2.47,3.65,0.49,0.2,0.2,0.97,2.31,5.09,No
Chuck Hayes,705.0,245.0,17.83,1.56,3.17,0.49,0.0,0.02,0.0,1.56,3.15,0.5,0.49,0.48,0.76,0.63,1.69,3.21,4.9,1.16,0.73,0.35,0.7,2.24,3.61,No
Chuck Nevitt,184.0,0.0,5.17,0.62,1.46,0.42,0.0,0.0,0.0,0.62,1.46,0.42,0.42,0.39,0.63,0.62,0.52,0.96,1.47,0.14,0.12,0.71,0.5,1.34,1.63,No
Chuck Person,943.0,622.0,30.69,5.91,12.91,0.46,1.29,3.57,0.36,4.62,9.34,0.49,0.51,1.58,2.18,0.72,1.23,3.82,5.05,2.8,0.72,0.21,2.07,2.72,14.7,No
Chucky Atkins,864.0,390.0,24.27,3.39,8.32,0.41,1.3,3.63,0.36,2.09,4.69,0.44,0.49,1.38,1.78,0.77,0.27,1.38,1.65,3.33,0.65,0.05,1.41,1.81,9.46,No
Chucky Brown,895.0,299.0,16.3,2.28,4.68,0.49,0.03,0.13,0.21,2.25,4.55,0.49,0.49,0.91,1.32,0.69,0.87,2.03,2.9,0.76,0.31,0.3,0.71,1.65,5.49,No
Clarence Kea,51.0,0.0,8.76,1.24,2.55,0.48,0.0,0.02,0.0,1.24,2.53,0.49,0.48,1.41,2.04,0.69,1.06,1.45,2.51,0.37,0.2,0.08,0.63,1.94,3.88,No
Clarence Weatherspoon,1046.0,662.0,29.57,4.2,8.94,0.47,0.01,0.05,0.19,4.19,8.89,0.47,0.47,2.56,3.45,0.74,2.29,5.02,7.31,1.4,0.95,0.84,1.51,2.2,10.98,No
Clark Kellogg,260.0,241.0,32.75,7.72,15.54,0.5,0.09,0.26,0.34,7.63,15.28,0.5,0.5,3.38,4.47,0.76,3.28,6.27,9.55,2.94,1.47,0.4,2.81,3.3,18.92,No
Claude Gregory,25.0,2.0,12.6,2.48,5.44,0.46,0.0,0.04,0.0,2.48,5.4,0.46,0.46,0.48,1.44,0.33,1.56,2.32,3.88,0.64,0.4,0.52,0.96,1.52,5.44,No
Clay Johnson,80.0,0.0,8.6,1.05,2.56,0.41,0.01,0.04,0.33,1.04,2.52,0.41,0.41,0.69,0.95,0.72,0.68,0.49,1.16,0.56,0.41,0.11,0.55,1.24,2.8,No
Cleanthony Early,56.0,9.0,14.3,1.57,4.54,0.35,0.46,1.77,0.26,1.11,2.77,0.4,0.4,0.7,0.93,0.75,0.46,1.73,2.2,0.75,0.46,0.27,0.88,1.3,4.3,No
Clemon Johnson,770.0,109.0,18.74,2.46,4.96,0.5,0.0,0.01,0.0,2.46,4.95,0.5,0.5,1.01,1.61,0.63,1.8,3.15,4.94,1.05,0.51,1.0,1.07,2.29,5.94,No
Cliff Alexander,8.0,0.0,4.5,0.62,1.25,0.5,0.0,0.0,0.0,0.62,1.25,0.5,0.5,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.12,0.25,0.12,0.12,1.25,No
Cliff Levingston,830.0,216.0,20.44,2.81,5.45,0.52,0.01,0.04,0.15,2.8,5.41,0.52,0.52,1.47,2.17,0.68,2.13,3.05,5.19,0.91,0.64,0.71,1.0,2.77,7.09,No
Cliff Robinson,697.0,472.0,30.79,7.19,15.41,0.47,0.01,0.06,0.17,7.18,15.35,0.47,0.47,2.94,4.08,0.72,2.21,6.18,8.39,1.96,1.07,0.78,2.47,3.0,17.33,No
Clifford Lett,11.0,0.0,11.55,1.45,3.36,0.43,0.0,0.09,0.0,1.45,3.27,0.44,0.43,0.55,0.82,0.67,0.09,0.55,0.64,0.73,0.18,0.09,0.91,1.55,3.45,No
Clifford Ray,147.0,0.0,17.15,1.82,3.64,0.5,0.0,0.01,0.0,1.82,3.63,0.5,0.5,0.77,1.44,0.54,1.33,3.32,4.65,1.6,0.51,0.31,1.56,3.13,4.4,No
Clifford Robinson,1451.0,873.0,30.5,5.23,11.99,0.44,0.91,2.56,0.36,4.32,9.43,0.46,0.47,2.5,3.63,0.69,1.31,3.18,4.49,2.2,1.01,0.99,1.77,3.0,13.87,No
Clifford Rozier,215.0,93.0,17.31,2.0,4.09,0.49,0.01,0.06,0.15,1.99,4.03,0.49,0.49,0.73,1.53,0.47,2.22,3.04,5.26,0.6,0.47,0.73,0.89,2.47,4.73,No
Clint Capela,334.0,274.0,25.97,5.29,8.34,0.63,0.0,0.01,0.0,5.29,8.33,0.63,0.63,1.63,3.09,0.53,3.26,6.45,9.71,0.97,0.69,1.47,1.23,2.51,12.2,No
Clint McDaniel,12.0,0.0,5.92,0.67,1.92,0.35,0.17,0.5,0.33,0.5,1.42,0.35,0.39,1.0,1.33,0.75,0.25,0.58,0.83,0.58,0.42,0.0,0.17,0.83,2.5,No
Clint Richardson,586.0,108.0,20.17,2.97,6.42,0.46,0.02,0.08,0.24,2.95,6.34,0.47,0.46,1.01,1.31,0.77,0.91,1.44,2.35,2.49,0.61,0.18,1.28,1.74,6.97,No
Clinton Smith,46.0,0.0,8.39,1.13,2.63,0.43,0.0,0.04,0.0,1.13,2.59,0.44,0.43,0.65,0.91,0.71,0.61,0.7,1.3,1.07,0.3,0.02,0.59,0.85,2.91,No
Clinton Wheeler,115.0,0.0,10.62,1.32,2.66,0.5,0.0,0.02,0.0,1.32,2.64,0.5,0.5,0.48,0.64,0.74,0.46,0.43,0.89,1.83,0.78,0.02,0.87,0.77,3.12,No
Clyde Drexler,1162.0,1025.0,34.65,7.66,16.27,0.47,0.84,2.59,0.32,6.83,13.68,0.5,0.5,4.36,5.51,0.79,2.38,3.78,6.16,5.58,2.02,0.66,2.72,3.0,20.52,Yes
Coby Dietrick,243.0,0.0,16.9,1.92,4.22,0.45,0.01,0.07,0.19,1.91,4.15,0.46,0.46,0.84,1.17,0.72,1.01,2.38,3.39,1.76,0.77,0.55,1.01,2.23,4.69,No
Coby Karl,31.0,2.0,9.58,1.0,2.9,0.34,0.26,1.13,0.23,0.74,1.77,0.42,0.39,0.52,0.71,0.73,0.35,1.26,1.61,1.26,0.32,0.13,0.81,1.03,2.77,No
Coby White,65.0,1.0,25.75,4.8,12.18,0.39,2.05,5.78,0.35,2.75,6.4,0.43,0.48,1.57,1.98,0.79,0.43,3.11,3.54,2.69,0.75,0.09,1.68,1.8,13.22,No
Cody Martin,48.0,3.0,18.81,1.85,4.31,0.43,0.38,1.6,0.23,1.48,2.71,0.55,0.47,0.88,1.35,0.65,0.79,2.5,3.29,1.98,0.81,0.19,0.92,1.62,4.96,No
Cody Zeller,419.0,252.0,22.94,3.23,6.29,0.51,0.07,0.27,0.25,3.16,6.02,0.53,0.52,2.09,2.86,0.73,1.97,3.99,5.96,1.39,0.68,0.71,1.08,2.63,8.62,No
Cole Aldrich,384.0,23.0,9.84,1.25,2.36,0.53,0.0,0.0,0.0,1.25,2.36,0.53,0.53,0.5,0.69,0.73,0.95,2.31,3.26,0.5,0.37,0.67,0.58,1.48,2.99,No
Collin Sexton,147.0,137.0,32.3,7.02,15.59,0.45,1.47,3.75,0.39,5.55,11.84,0.47,0.5,2.99,3.55,0.84,0.8,2.19,2.99,2.96,0.74,0.09,2.33,2.23,18.5,No
Conner Henry,186.0,4.0,8.13,1.16,3.08,0.38,0.35,0.94,0.38,0.81,2.14,0.38,0.44,0.6,0.8,0.76,0.22,0.68,0.89,1.1,0.23,0.06,0.7,0.76,3.28,No
Corey Beck,112.0,14.0,10.1,0.99,2.19,0.45,0.04,0.05,0.67,0.96,2.13,0.45,0.46,0.54,0.81,0.66,0.38,0.99,1.37,1.28,0.46,0.1,0.89,1.43,2.55,No
Corey Benjamin,153.0,16.0,14.32,2.07,5.31,0.39,0.37,1.29,0.29,1.7,4.02,0.42,0.43,0.94,1.44,0.65,0.55,1.14,1.69,0.93,0.46,0.31,1.07,2.07,5.46,No
Corey Brewer,1153.0,383.0,21.99,3.09,7.28,0.42,0.58,2.08,0.28,2.51,5.2,0.48,0.46,1.45,2.03,0.72,0.74,2.0,2.74,1.49,1.22,0.26,1.12,2.11,8.21,No
Corey Crowder,58.0,0.0,6.16,0.78,2.1,0.37,0.22,0.59,0.38,0.55,1.52,0.36,0.42,0.29,0.41,0.71,0.29,0.47,0.76,0.31,0.14,0.03,0.26,0.62,2.07,No
Corey Gaines,80.0,10.0,12.52,1.15,2.71,0.42,0.14,0.6,0.23,1.01,2.11,0.48,0.45,0.66,0.9,0.74,0.15,0.71,0.86,3.09,0.49,0.05,0.9,1.23,3.1,No
Corey Maggette,827.0,478.0,28.24,4.92,10.85,0.45,0.56,1.73,0.32,4.36,9.11,0.48,0.48,5.57,6.77,0.82,1.11,3.76,4.86,2.05,0.71,0.17,2.27,2.83,15.96,No
Corey Williams,39.0,0.0,7.38,0.92,2.51,0.37,0.03,0.1,0.25,0.9,2.41,0.37,0.37,0.49,0.59,0.83,0.51,0.44,0.95,0.74,0.15,0.05,0.33,0.77,2.36,No
Corie Blount,808.0,89.0,15.85,1.53,3.32,0.46,0.01,0.05,0.13,1.53,3.28,0.47,0.46,0.57,0.98,0.58,1.76,2.59,4.35,0.73,0.54,0.41,0.81,2.16,3.64,No
Corky Calhoun,7.0,0.0,4.29,0.57,1.29,0.44,0.0,0.0,0.0,0.57,1.29,0.44,0.44,0.0,0.29,0.0,1.0,0.43,1.43,0.0,0.29,0.0,0.14,0.86,1.14,No
Corliss Williamson,963.0,342.0,22.81,4.36,8.92,0.49,0.01,0.05,0.12,4.36,8.87,0.49,0.49,2.37,3.31,0.71,1.48,2.42,3.91,1.15,0.57,0.31,1.57,2.75,11.1,No
Corny Thompson,44.0,2.0,11.82,0.98,3.11,0.31,0.0,0.0,0.0,0.98,3.11,0.31,0.31,0.82,1.05,0.78,0.93,1.8,2.73,0.77,0.27,0.16,0.7,2.09,2.77,No
Corsley Edwards,10.0,0.0,11.0,1.0,3.1,0.32,0.0,0.0,0.0,1.0,3.1,0.32,0.32,0.7,1.2,0.58,1.2,1.3,2.5,0.3,0.3,0.4,0.2,1.9,2.7,No
Cory Alexander,367.0,57.0,16.74,2.07,5.2,0.4,0.83,2.3,0.36,1.24,2.9,0.43,0.48,0.94,1.24,0.76,0.26,1.45,1.71,2.84,0.91,0.13,1.58,1.67,5.9,No
Cory Blackwell,60.0,0.0,9.18,1.45,3.95,0.37,0.0,0.03,0.0,1.45,3.92,0.37,0.37,0.47,0.92,0.51,0.7,0.9,1.6,0.43,0.42,0.05,0.73,0.92,3.37,No
Cory Carr,42.0,7.0,14.86,1.69,5.14,0.33,0.12,0.71,0.17,1.57,4.43,0.35,0.34,0.57,0.76,0.75,0.19,0.98,1.17,1.57,0.5,0.17,1.1,1.57,4.07,No
Cory Higgins,44.0,0.0,10.34,1.32,4.07,0.32,0.11,0.57,0.2,1.2,3.5,0.34,0.34,0.98,1.41,0.69,0.18,0.68,0.86,0.93,0.18,0.14,0.89,1.02,3.73,No
Cory Jefferson,58.0,1.0,10.02,1.45,3.26,0.44,0.03,0.28,0.12,1.41,2.98,0.47,0.45,0.6,1.03,0.58,0.91,1.86,2.78,0.28,0.17,0.38,0.34,1.19,3.53,No
Cory Joseph,600.0,121.0,21.86,2.69,6.11,0.44,0.49,1.47,0.33,2.2,4.64,0.48,0.48,1.0,1.3,0.77,0.51,2.08,2.58,2.89,0.76,0.22,1.0,1.51,6.87,No
Coty Clarke,3.0,0.0,2.0,0.67,1.33,0.5,0.67,0.67,1.0,0.0,0.67,0.0,0.75,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.33,0.0,2.0,No
Courtney Alexander,252.0,83.0,21.62,3.55,8.43,0.42,0.23,0.66,0.35,3.32,7.77,0.43,0.43,1.83,2.25,0.81,0.66,1.53,2.19,1.15,0.62,0.09,1.1,2.05,9.16,No
Courtney Fortson,20.0,0.0,9.5,1.1,3.2,0.34,0.3,1.3,0.23,0.8,1.9,0.42,0.39,1.0,1.5,0.67,0.6,0.9,1.5,1.0,0.3,0.0,1.0,0.5,3.5,No
Courtney Lee,1003.0,636.0,26.59,3.59,7.93,0.45,1.04,2.72,0.38,2.55,5.21,0.49,0.52,1.18,1.38,0.85,0.43,2.14,2.57,1.64,0.98,0.27,0.92,1.63,9.39,No
Courtney Sims,7.0,0.0,5.29,0.86,1.86,0.46,0.0,0.0,0.0,0.86,1.86,0.46,0.46,0.0,0.0,0.0,0.71,0.71,1.43,0.14,0.0,0.0,0.29,0.57,1.71,No
Cozell McQueen,3.0,0.0,2.33,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.67,2.67,0.0,0.0,0.33,0.0,0.33,2.0,No
Craig Brackins,17.0,1.0,7.12,0.76,2.88,0.27,0.18,0.82,0.21,0.59,2.06,0.29,0.3,0.06,0.12,0.5,0.41,0.71,1.12,0.53,0.06,0.06,0.24,0.53,1.76,No
Craig Dykema,32.0,0.0,3.22,0.53,1.16,0.46,0.06,0.12,0.5,0.47,1.03,0.45,0.49,0.22,0.28,0.78,0.09,0.28,0.38,0.47,0.06,0.0,0.22,0.59,1.34,No
Craig Ehlo,873.0,321.0,24.14,3.41,7.54,0.45,0.71,1.93,0.37,2.7,5.61,0.48,0.5,1.05,1.52,0.69,1.14,2.45,3.6,2.81,1.13,0.27,1.4,1.94,8.58,No
Craig Hodges,820.0,262.0,21.62,3.42,7.42,0.46,0.88,2.15,0.41,2.54,5.27,0.48,0.52,0.92,1.11,0.83,0.42,0.92,1.35,2.52,0.78,0.04,1.16,1.92,8.66,No
Craig Neal,116.0,0.0,9.7,0.9,2.42,0.37,0.2,0.66,0.3,0.7,1.76,0.4,0.41,0.35,0.59,0.6,0.14,0.5,0.64,2.35,0.45,0.07,1.09,1.43,2.34,No
Craig Shelton,59.0,0.0,10.29,1.73,3.81,0.45,0.0,0.02,0.0,1.73,3.8,0.46,0.45,0.61,1.02,0.6,1.02,1.37,2.39,0.46,0.32,0.08,1.03,2.22,4.07,No
Craig Smith,403.0,49.0,16.94,3.03,5.48,0.55,0.0,0.07,0.04,3.03,5.41,0.56,0.55,1.58,2.39,0.66,1.35,2.54,3.89,0.8,0.45,0.23,1.02,2.37,7.64,No
Cristiano Felício,234.0,20.0,14.83,1.81,3.17,0.57,0.0,0.05,0.0,1.81,3.12,0.58,0.57,0.88,1.3,0.68,1.59,2.54,4.13,0.74,0.29,0.21,0.65,1.49,4.51,No
