Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HoF
Bob Sura,737.0,223.0,23.42,2.88,6.94,0.41,0.6,1.88,0.32,2.27,5.06,0.45,0.46,2.12,3.05,0.7,0.93,2.55,3.48,3.67,0.95,0.21,1.81,2.22,8.48,No
Bob Thornton,331.0,32.0,12.02,1.16,2.57,0.45,0.01,0.03,0.18,1.16,2.53,0.46,0.45,0.71,1.26,0.57,0.95,1.54,2.49,0.34,0.26,0.11,0.74,2.06,3.05,No
Bob Wilkerson,297.0,49.0,27.36,4.23,9.88,0.43,0.04,0.22,0.17,4.2,9.66,0.43,0.43,1.82,2.34,0.78,0.99,2.68,3.67,3.17,1.2,0.31,2.24,2.39,10.32,No
Boban Marjanović,327.0,35.0,9.97,2.37,4.08,0.58,0.04,0.11,0.32,2.34,3.96,0.59,0.59,1.61,2.09,0.77,1.39,2.7,4.09,0.62,0.24,0.37,0.79,1.28,6.39,No
Bobby Brown,271.0,4.0,11.58,1.85,4.84,0.38,0.62,1.96,0.31,1.23,2.88,0.43,0.44,0.36,0.44,0.81,0.17,0.54,0.71,1.61,0.28,0.03,0.86,1.05,4.66,No
Bobby Cattage,78.0,1.0,6.69,1.13,2.79,0.4,0.01,0.09,0.14,1.12,2.71,0.41,0.41,0.83,1.09,0.76,0.47,0.9,1.37,0.14,0.17,0.0,0.4,1.04,3.1,No
Bobby Hurley,330.0,65.0,15.29,1.38,3.82,0.36,0.21,0.78,0.27,1.17,3.04,0.38,0.39,0.92,1.2,0.77,0.2,0.86,1.06,3.2,0.43,0.02,1.43,1.33,3.88,No
Bobby Jackson,827.0,148.0,21.98,3.58,8.59,0.42,0.93,2.63,0.35,2.65,5.97,0.44,0.47,1.46,1.84,0.79,0.79,2.26,3.06,2.52,0.91,0.09,1.3,1.78,9.55,No
Bobby Jones,138.0,9.0,10.13,1.18,2.7,0.44,0.27,0.83,0.32,0.91,1.87,0.49,0.49,0.75,1.04,0.72,0.58,1.17,1.75,0.52,0.3,0.05,0.54,1.66,3.38,No
Bobby Jones,537.0,123.0,24.23,3.9,7.18,0.54,0.0,0.03,0.0,3.9,7.15,0.55,0.54,2.67,3.34,0.8,1.4,3.09,4.49,2.18,1.15,1.11,1.6,2.61,10.47,Yes
Bobby Phills,467.0,379.0,28.75,4.19,9.46,0.44,0.73,1.88,0.39,3.46,7.58,0.46,0.48,1.92,2.6,0.74,0.88,2.27,3.15,2.67,1.27,0.3,1.52,2.37,11.03,No
Bobby Portis,365.0,82.0,21.19,4.31,9.5,0.45,0.95,2.58,0.37,3.37,6.92,0.49,0.5,1.18,1.56,0.76,1.79,4.44,6.23,1.24,0.53,0.31,1.14,1.98,10.75,No
